locationID,arrestBorough,latitude,longitude
POINT (-73.9199661839064 40.66947681866307),Brooklyn,40.66947681866307,-73.9199661839064
POINT (-73.890732 40.6616),Brooklyn,40.6616,-73.890732
POINT (-73.9364609100088 40.700643020240506),Brooklyn,40.700643020240506,-73.9364609100088
POINT (-73.881509 40.671404),Brooklyn,40.671404,-73.881509
POINT (-73.862377 40.751184),Queens,40.751184,-73.862377
POINT (-74.007818 40.719211),Manhattan,40.719211,-74.007818
POINT (-73.81299 40.681879),Queens,40.681879,-73.81299
POINT (-73.999316 40.728245),Manhattan,40.728245,-73.999316
POINT (-73.791994 40.698324),Queens,40.698324,-73.791994
POINT (-73.953147 40.698304),Brooklyn,40.698304,-73.953147
POINT (-73.98928 40.750423),Manhattan,40.750423,-73.98928
POINT (-73.8740035373971 40.7434812638841),Queens,40.7434812638841,-73.8740035373971
POINT (-73.754846 40.605156),Queens,40.605156,-73.754846
POINT (-73.908704 40.637045),Brooklyn,40.637045,-73.908704
POINT (-74.007582 40.720528),Manhattan,40.720528,-74.007582
POINT (-73.88998401924985 40.65479217728193),Brooklyn,40.65479217728193,-73.88998401924985
POINT (-73.907156 40.668903),Brooklyn,40.668903,-73.907156
POINT (-73.989392 40.747586),Manhattan,40.747586,-73.989392
POINT (-73.868041 40.841443),Bronx,40.841443,-73.868041
POINT (-73.983789 40.690034),Brooklyn,40.690034,-73.983789
POINT (-73.90599986315169 40.84945286686186),Bronx,40.84945286686186,-73.90599986315169
POINT (-73.847247 40.887325),Bronx,40.887325,-73.847247
POINT (-73.967052 40.79605),Manhattan,40.79605,-73.967052
POINT (-73.81686112483767 40.70244443196808),Queens,40.70244443196808,-73.81686112483767
POINT (-73.953115 40.726956),Brooklyn,40.726956,-73.953115
POINT (-73.870168 40.823378),Bronx,40.823378,-73.870168
POINT (-73.996005 40.629624),Brooklyn,40.629624,-73.996005
POINT (-73.9834 40.744252),Manhattan,40.744252,-73.9834
POINT (-73.906989 40.700586),Queens,40.700586,-73.906989
POINT (-73.98569878753527 40.673975008755384),Brooklyn,40.67397500875538,-73.98569878753527
POINT (-73.942089 40.835332),Manhattan,40.835332,-73.942089
POINT (-73.8906752472269 40.820188951147415),Bronx,40.820188951147415,-73.8906752472269
POINT (-73.924895 40.810391),Bronx,40.810391,-73.924895
POINT (-74.077263 40.644996),Staten Island,40.644996,-74.077263
POINT (-73.831570887672 40.69932415739),Queens,40.69932415739,-73.831570887672
POINT (-73.866733 40.88092),Bronx,40.88092,-73.866733
POINT (-73.935865 40.842614),Manhattan,40.842614,-73.935865
POINT (-73.92566793186856 40.86125845886967),Manhattan,40.86125845886967,-73.92566793186856
POINT (-73.915304 40.674205),Brooklyn,40.674205,-73.915304
POINT (-73.942116 40.696192),Brooklyn,40.696192,-73.942116
POINT (-73.90041498507392 40.663807310453066),Brooklyn,40.663807310453066,-73.90041498507392
POINT (-73.830768 40.713859),Queens,40.713859,-73.830768
POINT (-73.916361 40.839717),Bronx,40.839717,-73.916361
POINT (-73.8914524839163 40.65821906163804),Brooklyn,40.65821906163804,-73.8914524839163
POINT (-73.980783 40.712882),Manhattan,40.712882,-73.980783
POINT (-73.9560680726795 40.7431245994984),Queens,40.7431245994984,-73.9560680726795
POINT (-74.14778812717405 40.6313367963127),Staten Island,40.6313367963127,-74.14778812717405
POINT (-73.99244 40.737624),Manhattan,40.737624,-73.99244
POINT (-73.93060242247068 40.85110887960849),Manhattan,40.85110887960849,-73.93060242247068
POINT (-73.948801 40.657188),Brooklyn,40.657188,-73.948801
POINT (-73.825952 40.712206),Queens,40.712206,-73.825952
POINT (-73.98209349413949 40.768890992016146),Manhattan,40.76889099201615,-73.98209349413949
POINT (-73.94189212502393 40.65116857462546),Brooklyn,40.65116857462546,-73.94189212502393
POINT (-74.007225 40.654754),Brooklyn,40.654754,-74.007225
POINT (-73.98225540711462 40.75738780131907),Manhattan,40.75738780131907,-73.98225540711462
POINT (-73.792962 40.67199),Queens,40.67199,-73.792962
POINT (-73.88244 40.850643),Bronx,40.850643,-73.88244
POINT (-73.848134 40.885953),Bronx,40.885953,-73.848134
POINT (-73.88502869750715 40.673501246025204),Brooklyn,40.6735012460252,-73.88502869750715
POINT (-73.87037565557497 40.74698774524682),Queens,40.74698774524682,-73.87037565557497
POINT (-73.95246 40.818593),Manhattan,40.818593,-73.95246
POINT (-73.98121659125884 40.57556814653694),Brooklyn,40.57556814653694,-73.98121659125884
POINT (-73.73645380091214 40.712040599280435),Queens,40.71204059928044,-73.73645380091214
POINT (-73.89347 40.704511),Queens,40.704511,-73.89347
POINT (-73.939216 40.84283),Manhattan,40.84283,-73.939216
POINT (-73.92731612997096 40.81856005891384),Bronx,40.81856005891384,-73.92731612997096
POINT (-73.991455 40.713944),Manhattan,40.713944,-73.991455
POINT (-73.80887650995939 40.70105357495816),Queens,40.70105357495816,-73.80887650995939
POINT (-73.910672 40.6735),Brooklyn,40.6735,-73.910672
POINT (-73.94180156942355 40.81281534574462),Manhattan,40.81281534574462,-73.94180156942355
POINT (-73.941396 40.672047),Brooklyn,40.672047,-73.941396
POINT (-74.016591 40.645701),Brooklyn,40.645701,-74.016591
POINT (-73.9556676077586 40.6811367070632),Brooklyn,40.6811367070632,-73.9556676077586
POINT (-73.799389 40.674182),Queens,40.674182,-73.799389
POINT (-73.977428 40.758225),Manhattan,40.758225,-73.977428
POINT (-73.832201 40.781659),Queens,40.781659,-73.832201
POINT (-73.905107 40.816666),Bronx,40.816666,-73.905107
POINT (-73.91768 40.81846),Bronx,40.81846,-73.91768
POINT (-73.90019137828081 40.85901602527648),Bronx,40.85901602527648,-73.90019137828081
POINT (-73.889581 40.860745),Bronx,40.860745,-73.889581
POINT (-73.84324519957711 40.75533648835839),Queens,40.75533648835839,-73.84324519957711
POINT (-73.93914815670928 40.826625401064284),Manhattan,40.82662540106429,-73.93914815670928
POINT (-73.981969 40.711437),Manhattan,40.711437,-73.981969
POINT (-73.912691 40.766722),Queens,40.766722,-73.912691
POINT (-73.92275803797244 40.81738784481628),Bronx,40.81738784481628,-73.92275803797244
POINT (-74.0770327198983 40.6447209438691),Staten Island,40.6447209438691,-74.0770327198983
POINT (-74.022462 40.638659),Brooklyn,40.638659,-74.022462
POINT (-73.910908 40.849719),Bronx,40.849719,-73.910908
POINT (-73.947351 40.789341),Manhattan,40.789341,-73.947351
POINT (-73.99972980910859 40.627701608152464),Brooklyn,40.627701608152464,-73.99972980910859
POINT (-73.803374 40.717076),Queens,40.717076,-73.803374
POINT (-73.945095 40.793866),Manhattan,40.793866,-73.945095
POINT (-73.907384 40.86141),Bronx,40.86141,-73.907384
POINT (-73.86182610273228 40.894811187060924),Bronx,40.89481118706093,-73.86182610273228
POINT (-74.012216 40.711458),Manhattan,40.711458,-74.012216
POINT (-73.84818729373164 40.68690519531054),Queens,40.68690519531054,-73.84818729373164
POINT (-73.840455 40.680096),Queens,40.680096,-73.840455
POINT (-73.73476 40.726284),Queens,40.726284,-73.73476
POINT (-73.826946 40.830792),Bronx,40.830792,-73.826946
POINT (-73.922462 40.845188),Bronx,40.845188,-73.922462
POINT (-73.920761 40.610931),Brooklyn,40.610931,-73.920761
POINT (-73.90632998817155 40.81266572646742),Bronx,40.81266572646742,-73.90632998817155
POINT (-73.992754 40.753164),Manhattan,40.753164,-73.992754
POINT (-73.784558 40.666427),Queens,40.666427,-73.784558
POINT (-73.93377679380417 40.84676313215459),Manhattan,40.84676313215459,-73.93377679380417
POINT (-73.98610578413911 40.76229044248997),Manhattan,40.76229044248997,-73.98610578413911
POINT (-73.997278 40.724833),Manhattan,40.724833,-73.997278
POINT (-73.94161894101322 40.79862228021883),Manhattan,40.79862228021883,-73.94161894101322
POINT (-73.987241 40.693462),Brooklyn,40.693462,-73.987241
POINT (-73.936253 40.840775),Manhattan,40.840775,-73.936253
POINT (-73.91103665226316 40.699531014673724),Queens,40.69953101467373,-73.91103665226316
POINT (-73.886518 40.730492),Queens,40.730492,-73.886518
POINT (-73.991656 40.664838),Brooklyn,40.664838,-73.991656
POINT (-73.751592 40.656957),Queens,40.656957,-73.751592
POINT (-73.943989 40.828666),Manhattan,40.828666,-73.943989
POINT (-73.97775 40.684454),Brooklyn,40.684454,-73.97775
POINT (-73.872579 40.84117),Bronx,40.84117,-73.872579
POINT (-73.953418 40.771341),Manhattan,40.771341,-73.953418
POINT (-73.940798 40.786582),Manhattan,40.786582,-73.940798
POINT (-73.9385423529129 40.805729523018485),Manhattan,40.805729523018485,-73.9385423529129
POINT (-73.995493 40.762149),Manhattan,40.762149,-73.995493
POINT (-73.95810499625229 40.64651772543904),Brooklyn,40.64651772543904,-73.95810499625229
POINT (-73.92651 40.753779),Queens,40.753779,-73.92651
POINT (-73.95255 40.710548),Brooklyn,40.710548,-73.95255
POINT (-73.95097518576361 40.66390584384186),Brooklyn,40.66390584384186,-73.95097518576361
POINT (-74.01921322260426 40.64316413520362),Brooklyn,40.64316413520362,-74.01921322260426
POINT (-73.89848 40.668888),Brooklyn,40.668888,-73.89848
POINT (-73.952707 40.696104),Brooklyn,40.696104,-73.952707
POINT (-73.917316 40.710846),Queens,40.710846,-73.917316
POINT (-73.878333 40.804008),Bronx,40.804008,-73.878333
POINT (-74.000634 40.657949),Brooklyn,40.657949,-74.000634
POINT (-73.91664224251635 40.83413459150226),Bronx,40.83413459150226,-73.91664224251635
POINT (-73.998428 40.742827),Manhattan,40.742827,-73.998428
POINT (-73.940484 40.695248),Brooklyn,40.695248,-73.940484
POINT (-73.827328 40.762037),Queens,40.762037,-73.827328
POINT (-73.93726594529097 40.63465076833468),Brooklyn,40.63465076833468,-73.93726594529097
POINT (-73.830419 40.851654),Bronx,40.851654,-73.830419
POINT (-73.990501 40.756259),Manhattan,40.756259,-73.990501
POINT (-74.028497 40.622442),Brooklyn,40.622442,-74.028497
POINT (-73.90448632037709 40.87647593461977),Bronx,40.87647593461977,-73.90448632037709
POINT (-74.005428 40.733876),Manhattan,40.733876,-74.005428
POINT (-73.851298 40.871155),Bronx,40.871155,-73.851298
POINT (-73.985617 40.754606),Manhattan,40.754606,-73.985617
POINT (-73.91768268616491 40.840225853367535),Bronx,40.840225853367535,-73.91768268616491
POINT (-73.916041 40.762606),Queens,40.762606,-73.916041
